time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.2238716743462558e-06,-5.132366133263485e-08,10.001969637727193,6.283102370830385,0.0008890740853688683,0.0,-9.350892743554512e-05,-5.580589484171421e-06,0.06565246156534338,-0.004301207533963406,0.034521996653328495,0.0,423.8141129436529,426.7703939308753,426.61422564430956,426.24690381733717
0.12000000000000001,-3.184062312610884e-05,-2.9650227684567943e-06,10.007572338251265,6.282756237451732,0.0033492986848902007,0.0,-0.0011455362267429078,-0.00012020001711380478,0.1210990721551091,-0.008879001673828555,0.051548367499095894,0.0,422.0279867162116,423.4957245650676,422.5084436061895,422.11374946026257
0.18,-0.00018517075250978074,-2.1066668206709448e-05,10.018433968611674,6.28251968837996,0.007286667040573569,0.0,-0.004343900035669845,-0.000521993120606869,0.2409350986353726,0.004450406697592495,0.08463737852827603,0.0,441.7696197730538,444.4920927375104,442.67347580971966,443.76884535810757
0.23999999999999996,-0.0006363486948003736,-6.625153510327423e-05,10.038320252020334,6.283087388259478,0.012811689775745982,0.0,-0.011302867385981151,-0.0009348236732841915,0.4218855175099378,0.01796278115861907,0.1038811528646865,0.0,460.85894514068997,462.3838762152549,461.7749348275796,462.8393309627627
0.3,-0.0016124563464975613,-0.0001202512177557215,10.06729601973611,0.0006856489973738888,0.019203674395225967,0.0,-0.02189836497968885,-0.0007646160243832284,0.5439126137366597,0.0007976921554421401,0.11136581611459673,0.0,443.8224204889995,444.4461290925132,444.70046539875653,443.29231579837335
0.36000000000000004,-0.0032944315060718906,-0.00015369281796128692,10.100279250915046,0.0005873250367063321,0.025781568625930618,0.0,-0.03475713522868331,-0.0003519067213234297,0.5555099415149795,-0.007021435510106576,0.10591908799223254,0.0,408.4038136111169,407.9295608089684,408.68648506240464,407.98909804020485
0.4200000000000001,-0.006116827669180617,-0.00015964860973309726,10.143271187638952,0.0008640034254288054,0.03235804488764504,0.0,-0.0601907644492257,0.0001524697216839418,0.8773390558758114,0.02122772782708092,0.11611362647456526,0.0,502.3864412429504,503.13399534596834,501.9054020425984,503.9511395362035
0.48000000000000015,-0.010503197453324339,-0.00012427674268553348,10.2012746352347,0.0027611057961483,0.039294664641195354,0.0,-0.08680671460713742,0.0012127814026103084,1.0559323431729424,0.04690317168947158,0.11458522227270822,0.0,462.2542256176838,462.1451703844019,460.9891408707401,463.013566977867
0.5400000000000001,-0.016537858791906286,1.5210622742818894e-05,10.267328653481377,0.005345720938818133,0.04597105302728899,0.0,-0.11502736145464362,0.0037090616748366783,1.1457512892334243,0.034050242302724534,0.10366103768927505,0.0,435.1940807610362,434.2900654195723,435.76791287257765,434.6933579818328
0.6000000000000002,-0.024445585787898173,0.00036024443133211484,10.339745116853416,0.007738064652651033,0.05225284147246434,0.0,-0.14921616077265284,0.008026716236774829,1.2679674557584453,0.04951981807318461,0.10668923278849704,0.0,445.3819407817402,445.6390467287753,444.82134010511624,446.0870015782302
0.6600000000000003,-0.0344631897708567,0.0010071892044719285,10.418053044934098,0.01015673254745142,0.05909809142038469,0.0,-0.1853534056189093,0.013816863495831784,1.3421710795990596,0.006420776918804336,0.12582184511152505,0.0,430.1137108870036,431.7426886946252,432.08698972916204,428.43925425080766
0.7200000000000003,-0.046853409311936864,0.002050569666653071,10.501868028495386,0.010075292461380059,0.06659583380812695,0.0,-0.22842455491607094,0.020984956926964695,1.4514759827688823,-0.025298760297403636,0.12318738873263499,0.0,442.5881287925277,442.38554169348157,442.99247130374584,440.37676490341
0.7800000000000004,-0.06188372049710268,0.0035001553936509027,10.59074678471206,0.008561926336650316,0.07419366241860637,0.0,-0.273302103208802,0.02718773418930032,1.5110178107636643,-0.025071237621999153,0.13274828430057403,0.0,426.91151828896454,427.74171244477714,425.7324978559391,425.7518244098012
0.8400000000000004,-0.07990988453045376,0.005309077566815958,10.685206250582933,0.006944970188050625,0.08234416188756111,0.0,-0.32841239671650885,0.032942642156275154,1.6373851067413454,-0.030997409467683413,0.1413984223762243,0.0,447.6557706141775,448.3758662833723,448.51021923847037,448.02852862121637
0.9000000000000005,-0.10166685432197928,0.007446671092461724,10.790168671226168,0.005216366071250533,0.09037050289572957,0.0,-0.3977955870572628,0.03809215547733467,1.860927616577991,-0.02476023938699108,0.11067724150717333,0.0,478.7666803259785,476.43831791996354,478.0903401473266,478.565110055884
0.9600000000000005,-0.12802849115992046,0.009866235100176477,10.911288935225965,0.0033257368815622357,0.09719653967320774,0.0,-0.48177915458168485,0.04233835298590205,2.1757673181023014,-0.05055037201277273,0.11931967628406133,0.0,504.9009599880436,505.5338308780916,505.3129975108997,503.45020962019873
1.0200000000000005,-0.15870089244833044,0.01245568196921026,11.042004408314142,6.475303969200041e-05,0.1047813684609542,0.0,-0.5412877060563682,0.04370038798935474,2.181324068913924,-0.063299553853512,0.13775670671465287,0.0,411.17642034523914,412.8221843757587,412.147945427608,411.01733705287563
1.0800000000000005,-0.19379747264569858,0.01506272477729967,11.17973267111545,6.279953354294804,0.11304750829023202,0.0,-0.6295517268551578,0.042777127400206325,2.4090294430953247,-0.04201660594415435,0.13779353962067248,0.0,481.463991858134,481.4827628426245,481.0251603858277,482.6321818996389
1.1400000000000006,-0.23383279651497593,0.017556909512382157,11.32622511809312,6.276951628092208,0.12081795755700675,0.0,-0.7057329912377721,0.04010495698853102,2.4737938797533627,-0.07524651601744067,0.10269180639388086,0.0,434.2162605607936,431.2766568311629,434.5419697969591,431.7454171614346
